woonplaats;gemeente;provincie;regio
Ederveen;Ede;Gelderland;Oost-Nederland
Ee;Noardeast-Fryslân;Fryslân;Noord-Nederland
Eede;Sluis;Zeeland;West-Nederland
Eefde;Lochem;Gelderland;Oost-Nederland
Eelde;Tynaarlo;Drenthe;Noord-Nederland
Eelderwolde;Tynaarlo;Drenthe;Noord-Nederland
Eemdijk;Bunschoten;Utrecht;West-Nederland
Eemnes;Eemnes;Utrecht;West-Nederland
Eemshaven;HetHogeland;Groningen;Noord-Nederland
Een;Noordenveld;Drenthe;Noord-Nederland
Eenrum;HetHogeland;Groningen;Noord-Nederland
Eenum;Loppersum;Groningen;Noord-Nederland
Een-West;Noordenveld;Drenthe;Noord-Nederland
Eerbeek;Brummen;Gelderland;Oost-Nederland
Eersel;Eersel;Noord-Brabant;Zuid-Nederland
Ees;Borger-Odoorn;Drenthe;Noord-Nederland
Eesergroen;Borger-Odoorn;Drenthe;Noord-Nederland
Eeserveen;Borger-Odoorn;Drenthe;Noord-Nederland
Eesterga;DeFryskeMarren;Fryslân;Noord-Nederland
Eesveen;Steenwijkerland;Overijssel;Oost-Nederland
Eethen;Altena;Noord-Brabant;Zuid-Nederland
Eext;AaenHunze;Drenthe;Noord-Nederland
Eexterveen;AaenHunze;Drenthe;Noord-Nederland
Eexterveenschekanaal;AaenHunze;Drenthe;Noord-Nederland
Eexterzandvoort;AaenHunze;Drenthe;Noord-Nederland
Egchel;PeelenMaas;Limburg;Zuid-Nederland
Egmond aan den Hoef;Bergen(NH.);Noord-Holland;West-Nederland
Egmond aan Zee;Bergen(NH.);Noord-Holland;West-Nederland
Egmond-Binnen;Bergen(NH.);Noord-Holland;West-Nederland
Eibergen;Berkelland;Gelderland;Oost-Nederland
Eijsden;Eijsden-Margraten;Limburg;Zuid-Nederland
Eindhoven;Eindhoven;Noord-Brabant;Zuid-Nederland
Einighausen;Sittard-Geleen;Limburg;Zuid-Nederland
Ekehaar;AaenHunze;Drenthe;Noord-Nederland
Elahuizen;DeFryskeMarren;Fryslân;Noord-Nederland
Elburg;Elburg;Gelderland;Oost-Nederland
Eldersloo;AaenHunze;Drenthe;Noord-Nederland
Eleveld;AaenHunze;Drenthe;Noord-Nederland
Elim;Hoogeveen;Drenthe;Noord-Nederland
Elkenrade;Gulpen-Wittem;Limburg;Zuid-Nederland
Ell;Leudal;Limburg;Zuid-Nederland
Ellecom;Rheden;Gelderland;Oost-Nederland
Ellemeet;Schouwen-Duiveland;Zeeland;West-Nederland
Ellertshaar;Borger-Odoorn;Drenthe;Noord-Nederland
Ellewoutsdijk;Borsele;Zeeland;West-Nederland
Elp;Midden-Drenthe;Drenthe;Noord-Nederland
Elsendorp;Gemert-Bakel;Noord-Brabant;Zuid-Nederland
Elshout;Heusden;Noord-Brabant;Zuid-Nederland
Elsloo;Stein;Limburg;Zuid-Nederland
Elsloo;Ooststellingwerf;Fryslân;Noord-Nederland
Elspeet;Nunspeet;Gelderland;Oost-Nederland
Elst;Overbetuwe;Gelderland;Oost-Nederland
Elst Ut;Rhenen;Utrecht;West-Nederland
Emmeloord;Noordoostpolder;Flevoland;Oost-Nederland
Emmen;Emmen;Drenthe;Noord-Nederland
Emmer-Compascuum;Emmen;Drenthe;Noord-Nederland
Empe;Brummen;Gelderland;Oost-Nederland
Emst;Epe;Gelderland;Oost-Nederland
Engwierum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Enkhuizen;Enkhuizen;Noord-Holland;West-Nederland
Ens;Noordoostpolder;Flevoland;Oost-Nederland
Enschede;Enschede;Overijssel;Oost-Nederland
Enspijk;WestBetuwe;Gelderland;Oost-Nederland
Enter;Wierden;Overijssel;Oost-Nederland
Enumatil;Westerkwartier;Groningen;Noord-Nederland
Epe;Epe;Gelderland;Oost-Nederland
Epen;Gulpen-Wittem;Limburg;Zuid-Nederland
Eppenhuizen;HetHogeland;Groningen;Noord-Nederland
Epse;Lochem;Gelderland;Oost-Nederland
Erica;Emmen;Drenthe;Noord-Nederland
Erichem;Buren;Gelderland;Oost-Nederland
Erlecom;BergenDal;Gelderland;Oost-Nederland
Erm;Coevorden;Drenthe;Noord-Nederland
Ermelo;Ermelo;Gelderland;Oost-Nederland
Erp;Meierijstad;Noord-Brabant;Zuid-Nederland
Esbeek;Hilvarenbeek;Noord-Brabant;Zuid-Nederland
Esch;Haaren;Noord-Brabant;Zuid-Nederland
Escharen;Grave;Noord-Brabant;Zuid-Nederland
Espel;Noordoostpolder;Flevoland;Oost-Nederland
Est;WestBetuwe;Gelderland;Oost-Nederland
Etten;OudeIJsselstreek;Gelderland;Oost-Nederland
Etten-Leur;Etten-Leur;Noord-Brabant;Zuid-Nederland
Europoort Rotterdam;Rotterdam;Zuid-Holland;West-Nederland
Eursinge;Midden-Drenthe;Drenthe;Noord-Nederland
Eursinge;DeWolden;Drenthe;Noord-Nederland
Everdingen;Vijfheerenlanden;Utrecht;West-Nederland
Evertsoord;HorstaandeMaas;Limburg;Zuid-Nederland
Ewijk;Beuningen;Gelderland;Oost-Nederland
1e Exloërmond;Borger-Odoorn;Drenthe;Noord-Nederland
2e Exloërmond;Borger-Odoorn;Drenthe;Noord-Nederland
Exloërveen;Borger-Odoorn;Drenthe;Noord-Nederland
Exloo;Borger-Odoorn;Drenthe;Noord-Nederland
Exmorra;Súdwest-Fryslân;Fryslân;Noord-Nederland
Eygelshoven;Kerkrade;Limburg;Zuid-Nederland
Eys;Gulpen-Wittem;Limburg;Zuid-Nederland
Ezinge;Westerkwartier;Groningen;Noord-Nederland
De Falom;Dantumadiel;Fryslân;Noord-Nederland
Farmsum;Delfzijl;Groningen;Noord-Nederland
Feanwâlden;Dantumadiel;Fryslân;Noord-Nederland
Feerwerd;Westerkwartier;Groningen;Noord-Nederland
Feinsum;Leeuwarden;Fryslân;Noord-Nederland
Ferwert;Noardeast-Fryslân;Fryslân;Noord-Nederland
Ferwoude;Súdwest-Fryslân;Fryslân;Noord-Nederland
Fijnaart;Moerdijk;Noord-Brabant;Zuid-Nederland
Finsterwolde;Oldambt;Groningen;Noord-Nederland
Firdgum;Waadhoeke;Fryslân;Noord-Nederland
Fleringen;Tubbergen;Overijssel;Oost-Nederland
Fluitenberg;Hoogeveen;Drenthe;Noord-Nederland
Fochteloo;Ooststellingwerf;Fryslân;Noord-Nederland
Follega;DeFryskeMarren;Fryslân;Noord-Nederland
Folsgare;Súdwest-Fryslân;Fryslân;Noord-Nederland
Formerum;Terschelling;Fryslân;Noord-Nederland
Foudgum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Foxhol;Midden-Groningen;Groningen;Noord-Nederland
Foxwolde;Noordenveld;Drenthe;Noord-Nederland
Franeker;Waadhoeke;Fryslân;Noord-Nederland
Frederiksoord;Westerveld;Drenthe;Noord-Nederland
Friens;Leeuwarden;Fryslân;Noord-Nederland
Frieschepalen;Opsterland;Fryslân;Noord-Nederland
Froombosch;Midden-Groningen;Groningen;Noord-Nederland
Gaanderen;Doetinchem;Gelderland;Oost-Nederland
Gaast;Súdwest-Fryslân;Fryslân;Noord-Nederland
Gaastmeer;Súdwest-Fryslân;Fryslân;Noord-Nederland
Galder;Alphen-Chaam;Noord-Brabant;Zuid-Nederland
Gameren;Zaltbommel;Gelderland;Oost-Nederland
Gapinge;Veere;Zeeland;West-Nederland
Garderen;Barneveld;Gelderland;Oost-Nederland
Garmerwolde;Groningen;Groningen;Noord-Nederland
Garminge;Midden-Drenthe;Drenthe;Noord-Nederland
Garnwerd;Westerkwartier;Groningen;Noord-Nederland
Garrelsweer;Loppersum;Groningen;Noord-Nederland
Garsthuizen;Loppersum;Groningen;Noord-Nederland
Garyp;Tytsjerksteradiel;Fryslân;Noord-Nederland
Gassel;Grave;Noord-Brabant;Zuid-Nederland
Gasselte;AaenHunze;Drenthe;Noord-Nederland
Gasselternijveen;AaenHunze;Drenthe;Noord-Nederland
Gasselternijveenschemond;AaenHunze;Drenthe;Noord-Nederland
Gastel;Cranendonck;Noord-Brabant;Zuid-Nederland
Gasteren;AaenHunze;Drenthe;Noord-Nederland
Gauw;Súdwest-Fryslân;Fryslân;Noord-Nederland
Geelbroek;AaenHunze;Drenthe;Noord-Nederland
Geerdijk;Twenterand;Overijssel;Oost-Nederland
Geersdijk;Noord-Beveland;Zeeland;West-Nederland
Geertruidenberg;Geertruidenberg;Noord-Brabant;Zuid-Nederland
Geervliet;Nissewaard;Zuid-Holland;West-Nederland
Gees;Coevorden;Drenthe;Noord-Nederland
Geesbrug;Coevorden;Drenthe;Noord-Nederland
Geesteren;Berkelland;Gelderland;Oost-Nederland
Geesteren;Tubbergen;Overijssel;Oost-Nederland
Geeuwenbrug;Westerveld;Drenthe;Noord-Nederland
Geffen;Oss;Noord-Brabant;Zuid-Nederland
Geijsteren;Venray;Limburg;Zuid-Nederland
Geldermalsen;WestBetuwe;Gelderland;Oost-Nederland
Gelderswoude;Zoeterwoude;Zuid-Holland;West-Nederland
Geldrop;Geldrop-Mierlo;Noord-Brabant;Zuid-Nederland
Geleen;Sittard-Geleen;Limburg;Zuid-Nederland
Gellicum;WestBetuwe;Gelderland;Oost-Nederland
Gelselaar;Berkelland;Gelderland;Oost-Nederland
Gemert;Gemert-Bakel;Noord-Brabant;Zuid-Nederland
Gemonde;Sint-Michielsgestel;Noord-Brabant;Zuid-Nederland
Genderen;Altena;Noord-Brabant;Zuid-Nederland
Gendringen;OudeIJsselstreek;Gelderland;Oost-Nederland
Gendt;Lingewaard;Gelderland;Oost-Nederland
Genemuiden;Zwartewaterland;Overijssel;Oost-Nederland
Gennep;Gennep;Limburg;Zuid-Nederland
Gerkesklooster;Achtkarspelen;Fryslân;Noord-Nederland
Gersloot;Heerenveen;Fryslân;Noord-Nederland
Geulle;Meerssen;Limburg;Zuid-Nederland
Giesbeek;Zevenaar;Gelderland;Oost-Nederland
Giessen;Altena;Noord-Brabant;Zuid-Nederland
Giessenburg;Molenlanden;Zuid-Holland;West-Nederland
Gieten;AaenHunze;Drenthe;Noord-Nederland
Gieterveen;AaenHunze;Drenthe;Noord-Nederland
Giethmen;Ommen;Overijssel;Oost-Nederland
Giethoorn;Steenwijkerland;Overijssel;Oost-Nederland
Gilze;GilzeenRijen;Noord-Brabant;Zuid-Nederland
Ginnum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Glane;Losser;Overijssel;Oost-Nederland
Glimmen;Groningen;Groningen;Noord-Nederland
De Glind;Barneveld;Gelderland;Oost-Nederland
Godlinze;Delfzijl;Groningen;Noord-Nederland
Goedereede;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Goënga;Súdwest-Fryslân;Fryslân;Noord-Nederland
Goëngahuizen;Smallingerland;Fryslân;Noord-Nederland
Goes;Goes;Zeeland;West-Nederland
Goingarijp;DeFryskeMarren;Fryslân;Noord-Nederland
Goirle;Goirle;Noord-Brabant;Zuid-Nederland
Goor;HofvanTwente;Overijssel;Oost-Nederland
De Goorn;Koggenland;Noord-Holland;West-Nederland
Gorinchem;Gorinchem;Zuid-Holland;West-Nederland
Gorredijk;Opsterland;Fryslân;Noord-Nederland
Gorssel;Lochem;Gelderland;Oost-Nederland
Gouda;Gouda;Zuid-Holland;West-Nederland
Gouderak;Krimpenerwaard;Zuid-Holland;West-Nederland
Goudriaan;Molenlanden;Zuid-Holland;West-Nederland
Goudswaard;HoekscheWaard;Zuid-Holland;West-Nederland
Goutum;Leeuwarden;Fryslân;Noord-Nederland
't Goy;Houten;Utrecht;West-Nederland
Graauw;Hulst;Zeeland;West-Nederland
Grafhorst;Kampen;Overijssel;Oost-Nederland
Graft;Alkmaar;Noord-Holland;West-Nederland
Gramsbergen;Hardenberg;Overijssel;Oost-Nederland
Grashoek;PeelenMaas;Limburg;Zuid-Nederland
Grathem;Leudal;Limburg;Zuid-Nederland
Grave;Grave;Noord-Brabant;Zuid-Nederland
's-Graveland;Wijdemeren;Noord-Holland;West-Nederland
's-Gravendeel;HoekscheWaard;Zuid-Holland;West-Nederland
's-Gravenhage;'s-Gravenhage;Zuid-Holland;West-Nederland
's Gravenmoer;Dongen;Noord-Brabant;Zuid-Nederland
's-Gravenpolder;Borsele;Zeeland;West-Nederland
's-Gravenzande;Westland;Zuid-Holland;West-Nederland
Greonterp;Súdwest-Fryslân;Fryslân;Noord-Nederland
Grevenbicht;Sittard-Geleen;Limburg;Zuid-Nederland
Griendtsveen;HorstaandeMaas;Limburg;Zuid-Nederland
Grijpskerk;Westerkwartier;Groningen;Noord-Nederland
Grijpskerke;Veere;Zeeland;West-Nederland
Groede;Sluis;Zeeland;West-Nederland
Groenekan;DeBilt;Utrecht;West-Nederland
Groeningen;Boxmeer;Noord-Brabant;Zuid-Nederland
Groenlo;OostGelre;Gelderland;Oost-Nederland
Groesbeek;BergenDal;Gelderland;Oost-Nederland
Groessen;Duiven;Gelderland;Oost-Nederland
Groet;Bergen(NH.);Noord-Holland;West-Nederland
De Groeve;Tynaarlo;Drenthe;Noord-Nederland
Grolloo;AaenHunze;Drenthe;Noord-Nederland
Groningen;Groningen;Groningen;Noord-Nederland
Gronsveld;Eijsden-Margraten;Limburg;Zuid-Nederland
Groot-Ammers;Molenlanden;Zuid-Holland;West-Nederland
Grootebroek;StedeBroec;Noord-Holland;West-Nederland
Grootegast;Westerkwartier;Groningen;Noord-Nederland
Grootschermer;Alkmaar;Noord-Holland;West-Nederland
Grou;Leeuwarden;Fryslân;Noord-Nederland
Grubbenvorst;HorstaandeMaas;Limburg;Zuid-Nederland
Gulpen;Gulpen-Wittem;Limburg;Zuid-Nederland
Guttecoven;Sittard-Geleen;Limburg;Zuid-Nederland
Gytsjerk;Tytsjerksteradiel;Fryslân;Noord-Nederland
Haaften;WestBetuwe;Gelderland;Oost-Nederland
Haaksbergen;Haaksbergen;Overijssel;Oost-Nederland
Haalderen;Lingewaard;Gelderland;Oost-Nederland
't Haantje;Coevorden;Drenthe;Noord-Nederland
Haaren;Haaren;Noord-Brabant;Zuid-Nederland
Haarle;Tubbergen;Overijssel;Oost-Nederland
Haarle;Hellendoorn;Overijssel;Oost-Nederland
Haarlem;Haarlem;Noord-Holland;West-Nederland
Haarlemmerliede;Haarlemmermeer;Noord-Holland;West-Nederland
Haarlo;Berkelland;Gelderland;Oost-Nederland
Haarsteeg;Heusden;Noord-Brabant;Zuid-Nederland
Haarzuilens;Utrecht;Utrecht;West-Nederland
Haastrecht;Krimpenerwaard;Zuid-Holland;West-Nederland
Haelen;Leudal;Limburg;Zuid-Nederland
Hagestein;Vijfheerenlanden;Utrecht;West-Nederland
Haghorst;Hilvarenbeek;Noord-Brabant;Zuid-Nederland
Haler;Leudal;Limburg;Zuid-Nederland
Halfweg;Haarlemmermeer;Noord-Holland;West-Nederland
Hall;Brummen;Gelderland;Oost-Nederland
Halle;Bronckhorst;Gelderland;Oost-Nederland
Hallum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Halsteren;BergenopZoom;Noord-Brabant;Zuid-Nederland
Den Ham;Twenterand;Overijssel;Oost-Nederland
Den Ham;Westerkwartier;Groningen;Noord-Nederland
Handel;Gemert-Bakel;Noord-Brabant;Zuid-Nederland
Hank;Altena;Noord-Brabant;Zuid-Nederland
Hansweert;Reimerswaal;Zeeland;West-Nederland
Hantum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Hantumeruitburen;Noardeast-Fryslân;Fryslân;Noord-Nederland
Hantumhuizen;Noardeast-Fryslân;Fryslân;Noord-Nederland
Hapert;Bladel;Noord-Brabant;Zuid-Nederland
Haps;Cuijk;Noord-Brabant;Zuid-Nederland
Harbrinkhoek;Tubbergen;Overijssel;Oost-Nederland
't Harde;Elburg;Gelderland;Oost-Nederland
Hardenberg;Hardenberg;Overijssel;Oost-Nederland
Harderwijk;Harderwijk;Gelderland;Oost-Nederland
Hardinxveld-Giessendam;Hardinxveld-Giessendam;Zuid-Holland;West-Nederland
Haren;Oss;Noord-Brabant;Zuid-Nederland
Haren Gn;Groningen;Groningen;Noord-Nederland
Harfsen;Lochem;Gelderland;Oost-Nederland
Harich;DeFryskeMarren;Fryslân;Noord-Nederland
Haringhuizen;HollandsKroon;Noord-Holland;West-Nederland
Harkema;Achtkarspelen;Fryslân;Noord-Nederland
Harkstede;Midden-Groningen;Groningen;Noord-Nederland
Harkstede GN;Groningen;Groningen;Noord-Nederland
Harlingen;Harlingen;Fryslân;Noord-Nederland
Harmelen;Woerden;Utrecht;West-Nederland
Harreveld;OostGelre;Gelderland;Oost-Nederland
Harskamp;Ede;Gelderland;Oost-Nederland
Hartwerd;Súdwest-Fryslân;Fryslân;Noord-Nederland
Haskerdijken;Heerenveen;Fryslân;Noord-Nederland
Haskerhorne;DeFryskeMarren;Fryslân;Noord-Nederland
Hasselt;Zwartewaterland;Overijssel;Oost-Nederland
Hattem;Hattem;Gelderland;Oost-Nederland
Hattemerbroek;Oldebroek;Gelderland;Oost-Nederland
Haule;Ooststellingwerf;Fryslân;Noord-Nederland
Haulerwijk;Ooststellingwerf;Fryslân;Noord-Nederland
Hauwert;Medemblik;Noord-Holland;West-Nederland
Havelte;Westerveld;Drenthe;Noord-Nederland
Havelterberg;Westerveld;Drenthe;Noord-Nederland
Hazerswoude-Dorp;AlphenaandenRijn;Zuid-Holland;West-Nederland
Hazerswoude-Rijndijk;AlphenaandenRijn;Zuid-Holland;West-Nederland
Hedel;Maasdriel;Gelderland;Oost-Nederland
Hedikhuizen;Heusden;Noord-Brabant;Zuid-Nederland
Hee;Terschelling;Fryslân;Noord-Nederland
Heeg;Súdwest-Fryslân;Fryslân;Noord-Nederland
Heel;Maasgouw;Limburg;Zuid-Nederland
Heelsum;Renkum;Gelderland;Oost-Nederland
Heelweg;OudeIJsselstreek;Gelderland;Oost-Nederland
Heemserveen;Hardenberg;Overijssel;Oost-Nederland
Heemskerk;Heemskerk;Noord-Holland;West-Nederland
Heemstede;Heemstede;Noord-Holland;West-Nederland
De Heen;Steenbergen;Noord-Brabant;Zuid-Nederland
Heenvliet;Nissewaard;Zuid-Holland;West-Nederland
's-Heer Abtskerke;Borsele;Zeeland;West-Nederland
's-Heer Arendskerke;Goes;Zeeland;West-Nederland
's-Heer Hendrikskinderen;Goes;Zeeland;West-Nederland
Heerde;Heerde;Gelderland;Oost-Nederland
's-Heerenberg;Montferland;Gelderland;Oost-Nederland
's-Heerenbroek;Kampen;Overijssel;Oost-Nederland
's-Heerenhoek;Borsele;Zeeland;West-Nederland
Heerenveen;Heerenveen;Fryslân;Noord-Nederland
Heerewaarden;Maasdriel;Gelderland;Oost-Nederland
Heerhugowaard;Heerhugowaard;Noord-Holland;West-Nederland
Heerjansdam;Zwijndrecht;Zuid-Holland;West-Nederland
Heerle;Roosendaal;Noord-Brabant;Zuid-Nederland
Heerlen;Heerlen;Limburg;Zuid-Nederland
Heesbeen;Heusden;Noord-Brabant;Zuid-Nederland
Heesch;Bernheze;Noord-Brabant;Zuid-Nederland
Heesselt;WestBetuwe;Gelderland;Oost-Nederland
Heeswijk-Dinther;Bernheze;Noord-Brabant;Zuid-Nederland
Heeten;Raalte;Overijssel;Oost-Nederland
Heeze;Heeze-Leende;Noord-Brabant;Zuid-Nederland
Hegebeintum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Hegelsom;HorstaandeMaas;Limburg;Zuid-Nederland
Hei- en Boeicop;Vijfheerenlanden;Utrecht;West-Nederland
Heibloem;Leudal;Limburg;Zuid-Nederland
Heide;Venray;Limburg;Zuid-Nederland
It Heidenskip;Súdwest-Fryslân;Fryslân;Noord-Nederland
Ter Heijde;Westland;Zuid-Holland;West-Nederland
Heijen;Gennep;Limburg;Zuid-Nederland
Heijenrath;Gulpen-Wittem;Limburg;Zuid-Nederland
Heijningen;Moerdijk;Noord-Brabant;Zuid-Nederland
Heikant;Hulst;Zeeland;West-Nederland
Heilig Landstichting;BergenDal;Gelderland;Oost-Nederland
Heiligerlee;Oldambt;Groningen;Noord-Nederland
Heiloo;Heiloo;Noord-Holland;West-Nederland
Heinenoord;HoekscheWaard;Zuid-Holland;West-Nederland
Heinkenszand;Borsele;Zeeland;West-Nederland
Heino;Raalte;Overijssel;Oost-Nederland
Hekelingen;Nissewaard;Zuid-Holland;West-Nederland
Hekendorp;Oudewater;Utrecht;West-Nederland
Helden;PeelenMaas;Limburg;Zuid-Nederland
Den Helder;DenHelder;Noord-Holland;West-Nederland
Helenaveen;Deurne;Noord-Brabant;Zuid-Nederland
Hellendoorn;Hellendoorn;Overijssel;Oost-Nederland
Hellevoetsluis;Hellevoetsluis;Zuid-Holland;West-Nederland
Hellouw;WestBetuwe;Gelderland;Oost-Nederland
Hellum;Midden-Groningen;Groningen;Noord-Nederland
Helmond;Helmond;Noord-Brabant;Zuid-Nederland
Helvoirt;Haaren;Noord-Brabant;Zuid-Nederland
Hem;Drechterland;Noord-Holland;West-Nederland
Hemelum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Hemmen;Overbetuwe;Gelderland;Oost-Nederland
Hempens;Leeuwarden;Fryslân;Noord-Nederland
Hemrik;Opsterland;Fryslân;Noord-Nederland
Hendrik-Ido-Ambacht;Hendrik-Ido-Ambacht;Zuid-Holland;West-Nederland
Hengelo;Hengelo;Overijssel;Oost-Nederland
Hengelo (Gld);Bronckhorst;Gelderland;Oost-Nederland
Hengevelde;HofvanTwente;Overijssel;Oost-Nederland
Hengstdijk;Hulst;Zeeland;West-Nederland
Hensbroek;Koggenland;Noord-Holland;West-Nederland
Herbaijum;Waadhoeke;Fryslân;Noord-Nederland
Herkenbosch;Roerdalen;Limburg;Zuid-Nederland
Herkingen;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Hernen;Wijchen;Gelderland;Oost-Nederland
Herpen;Oss;Noord-Brabant;Zuid-Nederland
Herpt;Heusden;Noord-Brabant;Zuid-Nederland
Herten;Roermond;Limburg;Zuid-Nederland
Hertme;Borne;Overijssel;Oost-Nederland
's-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant;Zuid-Nederland
Herveld;Overbetuwe;Gelderland;Oost-Nederland
Herwen;Zevenaar;Gelderland;Oost-Nederland
Herwijnen;WestBetuwe;Gelderland;Oost-Nederland
Heteren;Overbetuwe;Gelderland;Oost-Nederland
Heukelom;Oisterwijk;Noord-Brabant;Zuid-Nederland
Heukelum;WestBetuwe;Gelderland;Oost-Nederland
Heumen;Heumen;Gelderland;Oost-Nederland
De Heurne;Aalten;Gelderland;Oost-Nederland
Heusden;Heusden;Noord-Brabant;Zuid-Nederland
Heusden;Asten;Noord-Brabant;Zuid-Nederland
Heveadorp;Renkum;Gelderland;Oost-Nederland
Heythuysen;Leudal;Limburg;Zuid-Nederland
Hezingen;Tubbergen;Overijssel;Oost-Nederland
Hiaure;Noardeast-Fryslân;Fryslân;Noord-Nederland
Hichtum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Hidaard;Súdwest-Fryslân;Fryslân;Noord-Nederland
Hierden;Harderwijk;Gelderland;Oost-Nederland
Hieslum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Hijken;Midden-Drenthe;Drenthe;Noord-Nederland
Hijum;Leeuwarden;Fryslân;Noord-Nederland
Hilaard;Leeuwarden;Fryslân;Noord-Nederland
Hillegom;Hillegom;Zuid-Holland;West-Nederland
Hilvarenbeek;Hilvarenbeek;Noord-Brabant;Zuid-Nederland
Hilversum;Hilversum;Noord-Holland;West-Nederland
Hindeloopen;Súdwest-Fryslân;Fryslân;Noord-Nederland
Hinnaard;Súdwest-Fryslân;Fryslân;Noord-Nederland
Hippolytushoef;HollandsKroon;Noord-Holland;West-Nederland
Hitzum;Waadhoeke;Fryslân;Noord-Nederland
Hobrede;Edam-Volendam;Noord-Holland;West-Nederland
Hoedekenskerke;Borsele;Zeeland;West-Nederland
de Hoef;DeRondeVenen;Utrecht;West-Nederland
Hoef en Haag;Vijfheerenlanden;Utrecht;West-Nederland
Hoek;Terneuzen;Zeeland;West-Nederland
Hoek van Holland;Rotterdam;Zuid-Holland;West-Nederland
Hoenderloo;Apeldoorn;Gelderland;Oost-Nederland
Hoenderloo;Ede;Gelderland;Oost-Nederland
Hoensbroek;Heerlen;Limburg;Zuid-Nederland
Hoenzadriel;Maasdriel;Gelderland;Oost-Nederland
De Hoeve;Weststellingwerf;Fryslân;Noord-Nederland
Hoevelaken;Nijkerk;Gelderland;Oost-Nederland
Hoeven;Halderberge;Noord-Brabant;Zuid-Nederland
Hoge Hexel;Wierden;Overijssel;Oost-Nederland
Hollandsche Rading;DeBilt;Utrecht;West-Nederland
Hollandscheveld;Hoogeveen;Drenthe;Noord-Nederland
Hollum;Ameland;Fryslân;Noord-Nederland
Holsloot;Coevorden;Drenthe;Noord-Nederland
Holten;Rijssen-Holten;Overijssel;Oost-Nederland
Holthees;Boxmeer;Noord-Brabant;Zuid-Nederland
Holtheme;Hardenberg;Overijssel;Oost-Nederland
Holthone;Hardenberg;Overijssel;Oost-Nederland
Holtum;Sittard-Geleen;Limburg;Zuid-Nederland
Holwerd;Noardeast-Fryslân;Fryslân;Noord-Nederland
Holwierde;Delfzijl;Groningen;Noord-Nederland
Hommerts;Súdwest-Fryslân;Fryslân;Noord-Nederland
Homoet;Overbetuwe;Gelderland;Oost-Nederland
Honselersdijk;Westland;Zuid-Holland;West-Nederland
Hoofddorp;Haarlemmermeer;Noord-Holland;West-Nederland
Hoofdplaat;Sluis;Zeeland;West-Nederland
Hoog Soeren;Apeldoorn;Gelderland;Oost-Nederland
Hoogblokland;Molenlanden;Zuid-Holland;West-Nederland
Hooge Mierde;Reusel-DeMierden;Noord-Brabant;Zuid-Nederland
Hooge Zwaluwe;Drimmelen;Noord-Brabant;Zuid-Nederland
Hoogeloon;Bladel;Noord-Brabant;Zuid-Nederland
Hoogenweg;Hardenberg;Overijssel;Oost-Nederland
Hoogerheide;Woensdrecht;Noord-Brabant;Zuid-Nederland
Hoogersmilde;Westerveld;Drenthe;Noord-Nederland
Hoogersmilde;Midden-Drenthe;Drenthe;Noord-Nederland
Hoogeveen;Hoogeveen;Drenthe;Noord-Nederland
Hoogezand;Midden-Groningen;Groningen;Noord-Nederland
Hooghalen;Midden-Drenthe;Drenthe;Noord-Nederland
Hoogkarspel;Drechterland;Noord-Holland;West-Nederland
Hoog-Keppel;Bronckhorst;Gelderland;Oost-Nederland
Hoogland;Amersfoort;Utrecht;West-Nederland
Hooglanderveen;Amersfoort;Utrecht;West-Nederland
Hoogmade;KaagenBraassem;Zuid-Holland;West-Nederland
Hoogvliet Rotterdam;Rotterdam;Zuid-Holland;West-Nederland
Hoogwoud;Opmeer;Noord-Holland;West-Nederland
Hoorn;Terschelling;Fryslân;Noord-Nederland
Hoorn;Hoorn;Noord-Holland;West-Nederland
Den Hoorn;Midden-Delfland;Zuid-Holland;West-Nederland
Den Hoorn;Texel;Noord-Holland;West-Nederland
Hoornaar;Molenlanden;Zuid-Holland;West-Nederland
Hoornsterzwaag;Heerenveen;Fryslân;Noord-Nederland
Horn;Leudal;Limburg;Zuid-Nederland
Den Horn;Westerkwartier;Groningen;Noord-Nederland
Hornhuizen;HetHogeland;Groningen;Noord-Nederland
Horssen;Druten;Gelderland;Oost-Nederland
Horst;HorstaandeMaas;Limburg;Zuid-Nederland
Den Hout;Oosterhout;Noord-Brabant;Zuid-Nederland
Houten;Houten;Utrecht;West-Nederland
Houtigehage;Smallingerland;Fryslân;Noord-Nederland
Houwerzijl;HetHogeland;Groningen;Noord-Nederland
Huijbergen;Woensdrecht;Noord-Brabant;Zuid-Nederland
Huis ter Heide;Zeist;Utrecht;West-Nederland
Huis ter Heide;Noordenveld;Drenthe;Noord-Nederland
Huisduinen;DenHelder;Noord-Holland;West-Nederland
Huisseling;Oss;Noord-Brabant;Zuid-Nederland
Huissen;Lingewaard;Gelderland;Oost-Nederland
